stop_code	stop_id	stop_name
72666	490000151A	Morden, Morden (Stop A)
58644	490000094B	Gunnersbury, Gunnersbury Station (Stop B)
57898	490000094C	Gunnersbury, Gunnersbury Station (Stop C)
54723	490000109S	Highgate, Highgate (Stop T)
52562	490000110A	High Street Kensington, High Street Kensington (Stop A)
52114	490000110B	High Street Kensington, High Street Kensington (Stop B)
72233	490000110E	High Street Kensington, High Street Kensington (Stop E)
56875	490000110F	High Street Kensington, High Street Kensington (Stop F)
58298	490000138N	Liverpool Street, Liverpool Street Station (Stop)
49311	490000123W	Kentish Town, Leighton Road  Bartholomew Road (Stop)
50244	490000124HH	Kenton, Kenton Station (Stop HH)
72726	490000124II	Kenton, Kenton Station (Stop II)
71706	490000125B	Kew, Kew Gardens Station (Stop H)
59524	490000125D	Kew, Kew Gardens Station (Stop N)
52855	490000126A	Brondesbury, Kilburn (Stop A)
50794	490000144O	Marble Arch, Marble Arch (Stop O)
74751	490000139D	London Bridge, London Bridge Station (Stop D)
77771	490000139M	London Bridge, London Bridge Borough High St (Stop M)
74958	490000139R	London Bridge, London Bridge Station (Stop R)
72966	490000139S	London Bridge, London Bridge Station (Stop S)
77450	490000126B	Brondesbury, Kilburn (Stop B)
56141	490000127KA	Kilburn Park, Kilburn Park (Stop KA)
72081	490000127KB	Kilburn Park, Kilburn Park (Stop KB)
77966	490000128A	Kingsbury, Kingsbury (Stop A)
72740	490000128B	Kingsbury, Kingsbury (Stop B)
47515	490000151L	Morden, Morden (Stop N)
50915	490000152A	Mornington Crescent, Mornington Crescent (Stop A)
49253	490000152C	Mornington Crescent, Mornington Crescent (Stop C)
47343	490000152D	Mornington Crescent, Mornington Crescent (Stop D)
73701	490000152F	Mornington Crescent, Mornington Crescent (Stop F)
50692	490000152G	Mornington Crescent, Mornington Crescent (Stop G)
73868	490000152K	Mornington Crescent, Mornington Crescent (Stop K)
56207	490000165A	Northwood, Northwood (Stop A)
75373	490000138F	Liverpool Street, Liverpool Street Station (Stop F)
75513	490000093PA	Green Park, Green Park (Stop R)
53953	490000142F	Manor House, Manor House (Stop F)
47604	490000132C	Lambeth North, Lambeth North (Stop C)
74337	490000132G	Lambeth North, Lambeth North (Stop G)
76515	490000104E	Heathrow Airport Terminal 4, Heathrow Terminal 4 (Stop 6)
75363	490000104N	Heathrow Airport Terminal 4, Heathrow Terminal 4 (Stop 7)
75430	490000123A	Kentish Town, Kentish Town (Stop KB)
71366	490000123B	Kentish Town, Kentish Town (Stop KF)
51682	490000123E	Kentish Town, Kentish Town (Stop LG)
56901	490000143E	Mansion House, Mansion House (Stop ME)
52780	490000094A	Gunnersbury, Gunnersbury Station (Stop A)
57167	490000112N	Holborn, Holborn Station (Stop N)
77665	490000112P	Holborn, Holborn Station (Stop P)
48900	490000113A	Holland Park, Holland Park (Stop HA)
51009	490000113G	Holland Park, Holland Park (Stop HB)
55964	490000094D	Gunnersbury, Gunnersbury Station (Stop D)
55747	490000106A	Hendon Central, Hendon Central (Stop A)
59543	490000106B	Hendon Central, Hendon Central (Stop B)
54350	490000106E	Hendon Central, Hendon Central (Stop E)
51327	490000106F	Hendon Central, Hendon Central (Stop F)
51606	490000106G	Hendon Central, Hendon Central (Stop G)
48136	490000148T	City of London, Gracechurch St  Monument Stn (Stop T)
74569	490000148U	City of London, Fenchurch Street (Stop U)
56245	490000161B	North Harrow, North Harrow (Stop NA)
77517	490000162A	Northolt, Northolt (Stop A)
57884	490000162B	Northolt, Northolt (Stop B)
52377	490000146A	Mile End, Mile End (Stop A)
75528	490000146B	Mile End, Mile End (Stop B)
76652	490000146C	Mile End, Mile End (Stop C)
47993	490000146D	Mile End, Mile End (Stop D)
58805	490000146G	Mile End, Mile End Station  Mile End Rd (Stop G)
48253	490000146W	Mile End, Mile End (Stop M)
49160	490000132P	Lambeth North, Baylis Road Lambeth North Stn (Stop P)
49561	490000133A	Lancaster Gate, Lancaster Gate (Stop LA)
72042	490000133B	Lancaster Gate, Lancaster Gate (Stop LC)
91572	490000133N	Lancaster Gate, Lancaster Gate (Stop LH)
47674	490000133S	Lancaster Gate, Westbourne Street (->S)
53424	490000134A	Latimer Road, Latimer Road (Stop A)
54527	490000134B	Latimer Road, Latimer Road (Stop B)
58213	490000113T	Holland Park, Holland Park (Stop HL)
53125	490000117E	Hounslow East, Hounslow East (Stop EE)
56540	490000118A	Hounslow West, Hounslow West (Stop A)
56993	490000147A	Mill Hill East, Mill Hill East (Stop A)
76892	490000168A	Oakwood, Oakwood (Stop A)
48086	490000168B	Oakwood, Oakwood (Stop B)
55459	490000169K	Shoreditch, Shoreditch Fire Station (Stop K)
58713	490000114U	Holloway Road, Holloway Road Station (Stop SU)
48458	490000114Y	Holloway Road, Holloway Road Station (Stop SY)
74561	490000115L	Hornchurch, Hornchurch (Stop L)
56466	490000115M	Hornchurch, Hornchurch (Stop M)
72309	4900001161	Hounslow Central, Hounslow Central Station (Stop RR)
55007	4900001162	Hounslow Central, Hounslow Central Station (Stop YY)
50600	490000117D	Hounslow East, Hounslow East (Stop DD)
58351	490000103F	Hatton Cross, Hatton Cross (Stop E)
53136	490000103Z	Hatton Cross, Hatton Cross (Stop D)
72104	490000138K	Liverpool Street, Liverpool Street Station (Stop K)
56151	490000138L	Liverpool Street, Liverpool Street Station (Stop L)
47932	490000135A	Leicester Square, Leicester Square (Stop L)
57269	490000103E	Hatton Cross, Hatton Cross (Stop A)
76362	490000118C	Hounslow West, Hounslow West (Stop C)
47484	490000118D	Hounslow West, Hounslow West Station  Vicarage Farm Road (Stop D)
53748	490000119F	Hyde Park Corner, Hyde Park Corner (Stop F)
77064	490000119K	Hyde Park Corner, Hyde Park Corner (Stop K)
49574	490000119M	Hyde Park Corner, Hyde Park Corner (Stop M)
74570	490000119N	Hyde Park Corner, Hyde Park Corner (Stop N)
54653	490000119P	Hyde Park Corner, Hyde Park Corner (Stop P)
57926	490000119S	Hyde Park Corner, Hyde Park Corner (Stop S)
55437	490000119T	Hyde Park Corner, Hyde Park Corner (Stop T)
73747	490000099J	Hanger Lane, Hanger Lane Station (Stop J)
76328	490000099K	Hanger Lane, Hanger Lane Station (Stop K)
76538	490000166A	Northwood Hills, Northwood Hills (Stop A)
74521	490000167K	Kensington, Palace Gardens Terr Notting Hill Gate (Stop K)
53139	490000172C	Oval, Oval (Stop C)
72273	490000119W	Hyde Park Corner, Hyde Park Corner (Stop W)
58830	490000120D	Ickenham, Ickenham (Stop D)
71484	490000121B	Kennington, Kennington Station (Stop KB)
71244	490000121S	Kennington, Kennington Station (Stop KA)
72945	490000122E	Kensal Green, Kensal Green Station (Stop KX)
53689	490000122W	Kensal Green, Kensal Green Station (Stop KU)
76148	490000144P	Marble Arch, Marble Arch (Stop P)
53906	490000144R	Marble Arch, Marble Arch Station  Park Lane (Stop R)
77956	490000091F	Great Portland Street, Great Portland Street (Stop F)
52222	490000139Y	London Bridge, London Bridge Borough High St (Stop Y)
56154	490000142A	Manor House, Manor House Stn  Woodberry Grove (Stop A)
71930	490000142B	Manor House, Manor House (Stop B)
54097	490000142C	Manor House, Manor House (Stop C)
48850	490000142D	Manor House, Manor House (Stop D)
74446	490000087GK	Golders Green, Golders Green (Stop GK)
51277	490000088Y	Goldhawk Road, Goldhawk Road (Stop L)
47077	490000088Z	Goldhawk Road, Goldhawk Road (Stop K)
48552	490000086A	Gloucester Road, Gloucester Road (Stop GR)
58912	490000163A	North Wembley, North Wembley Station (Stop B)
75634	490000163B	North Wembley, North Wembley Station (Stop N)
54676	490000164MM	Northwick Park, Northwick Park (Stop MM)
73347	490000164NN	Northwick Park, Northwick Park (Stop NN)
49394	490000100N	Harlesden, Harlesden Station (Stop HB)
50541	490000100S	Harlesden, Harlesden Station (Stop HA)
58763	490000101J	Harrow & Wealdstone, Harrow & Wealdstone Station (Stop J)
73054	490000101K	Harrow & Wealdstone, Harrow & Wealdstone Station (Stop H)
54432	490000103A	Hatton Cross, Hatton Cross (->SW)
77858	490000103B	Hatton Cross, Hatton Cross (->W)
54830	490000103C	Hatton Cross, Hatton Cross (Stop C)
51235	490000103D	Hatton Cross, Hatton Cross (Stop B)
57971	490000137W	Leytonstone, Leytonstone Station (Stop W)
71303	490000137X	Leytonstone, Leytonstone Station (Stop X)
55940	490000138A	Liverpool Street, Liverpool Street Station (Stop A)
77688	490000138B	Liverpool Street, Liverpool Street Station (Stop B)
56564	490000108G	Canonbury, Upper Street  Laycock Street (Stop G)
50951	490000157V	North Acton, North Acton (Stop Z)
